label,dimension,condition,N,indirect_pred,indirect_pred_lo,indirect_pred_hi,indirect_style,indirect_style_lo,indirect_style_hi,b1,b1_lo,b1_hi,b2,b2_lo,b2_hi,c,c_prime
full,correctness,c1,480,0.045136678785095335,-0.12171996626767356,0.2638952548563332,-0.14434253910508332,-0.3061662944888513,0.015277310728346507,0.116065745447388,-0.32998205420490756,0.6337493216548876,-0.4242161598899746,-0.9023274993850695,0.045891423679883414,-0.04722222222222069,0.05198363809776838
full,correctness,c2,480,0.0552673513328943,-0.1071991988549288,0.2706906048137065,-0.08356592039364963,-0.22344856147768943,0.03560018790977207,0.14211604628458535,-0.29025095006594887,0.6446722345726841,-0.37920832155575734,-0.9910129710249846,0.1585161305082031,-0.06111111111111206,-0.03281254205035654
full,correctness,c3,480,0.03330887423021505,-0.1330355383254525,0.2504990797685396,-0.18864452577660437,-0.3588284136703475,-0.021567521913035993,0.08565139087769574,-0.3534714484479337,0.60170079956893,-0.5544176845258095,-1.050112894530178,-0.06261318085143991,-0.05833333333333331,0.09700231821305647
full,completeness,c1,480,0.2266542040594194,0.05689329736300554,0.4469774315240674,-0.1566954373587341,-0.30199850143287194,-0.03180094771829807,0.5828250961527928,0.15860460070569624,1.0738692280819233,-0.4605207662323938,-0.8791132314537436,-0.09238253269353269,0.11944444444444698,0.04948567774376378
full,completeness,c2,480,0.25781362240840816,0.08376934576123582,0.47983694978105046,-0.09373748484857886,-0.1951135216822372,0.0008142503855915382,0.6629493147644782,0.25028147678683405,1.1348086810404334,-0.4253651982631552,-0.8589272396198132,0.004316500651826102,0.03055555555555498,-0.13352058200427447
full,completeness,c3,480,0.2318843421414309,0.058220923017396474,0.4558112869999467,-0.17068629221182802,-0.325893192424883,-0.037169003445715255,0.596274022649393,0.15822166456826392,1.1011551056643154,-0.5016392525508078,-0.9399539977815395,-0.11360784000502261,0.11944444444444358,0.05824639451484345
full,clarity,c1,480,0.034964303935811174,-0.046172317008167804,0.12402053397554542,-0.09783955456909038,-0.2861782136033672,0.0327627624666269,0.0899082101206573,-0.11385571106615199,0.32287786923906764,-0.28754600259892094,-0.7796005008350309,0.0999130891732696,-0.13333333333333217,-0.07045808270005083
full,clarity,c2,480,-0.0035591970739550353,-0.08269630092538428,0.0907333912616398,-0.0329602204645305,-0.14421139909813438,0.07671036367819396,-0.009152221047312947,-0.21775440431480397,0.2200759486042981,-0.14956802751151352,-0.6647872471989843,0.3265290761131701,-0.4194444444444445,-0.3829250269059613
full,clarity,c3,480,-0.03409165453917502,-0.12168364997290167,0.055740894771937374,-0.1794838764599123,-0.3738332748290872,-0.02579345214306422,-0.0876642545293071,-0.2990553301440097,0.14870918328021368,-0.5274949526733741,-1.0476509095006894,-0.07486168869052882,-0.34166666666666656,-0.12809113566757896
full,creativity,c1,480,0.19461098676080393,0.07672398785544329,0.34837935750503746,0.0008622845409506392,-0.18051601306383244,0.16793046757806246,0.5004282516706386,0.21191673010654985,0.8597472682117742,0.00253421506204949,-0.5195365003939649,0.48497671246274593,-0.13611111111111077,-0.3315843824128629
